id,product_name,product_brand,product_category,units_sold,total_revenue,avg_transaction_value,total_profit,avg_profits,profit_margin_percent
140,"Lindt Dark Chocolate 80% (120g)",Lindt,Dark,7690,65774.93,26.36,26382.31,10.57,40.11
117,"Mars Dark Chocolate 50% (50g) [ID:117]",Mars,Dark,7644,65735.70,25.59,26310.66,10.24,40.02
122,"Lindt White Chocolate 70% (120g)",Lindt,White,7587,65471.58,26.17,26284.24,10.51,40.15
27,"Mars White Chocolate 60% (200g)",Mars,White,7651,65505.89,25.87,26260.57,10.37,40.09
139,"Godiva Dark Chocolate 50% (100g)",Godiva,Dark,7621,65455.55,25.80,26241.44,10.34,40.09
8,"Godiva White Chocolate 90% (100g)",Godiva,White,7646,65588.70,25.88,26184.45,10.33,39.92
187,"Godiva Praline Chocolate 50% (120g)",Godiva,Praline,7700,65107.59,25.32,26162.83,10.18,40.18
91,"Cadbury Dark Chocolate 60% (200g) [ID:91]",Cadbury,Dark,7696,65672.15,25.78,26159.24,10.27,39.83
158,"Godiva Truffle Chocolate 80% (100g)",Godiva,Truffle,7699,65028.03,25.21,26117.42,10.13,40.16
147,"Mars Dark Chocolate 60% (120g)",Mars,Dark,7490,64888.12,26.35,26106.89,10.60,40.23
100,"Ferrero Truffle Chocolate 50% (200g)",Ferrero,Truffle,7729,65314.04,25.49,26104.87,10.19,39.97
89,"Godiva Dark Chocolate 70% (200g)",Godiva,Dark,7758,65475.69,25.51,26086.48,10.16,39.84
191,"Godiva Truffle Chocolate 70% (100g) [ID:191]",Godiva,Truffle,7652,65155.35,25.39,26069.18,10.16,40.01
137,"Cadbury Praline Chocolate 80% (100g)",Cadbury,Praline,7528,64718.45,25.78,26065.05,10.38,40.27
17,"Hershey White Chocolate 50% (120g)",Hershey,White,7685,65295.58,25.33,26032.27,10.10,39.87
154,"Ferrero Milk Chocolate 70% (200g)",Ferrero,Milk,7652,64990.87,25.45,26010.48,10.18,40.02
93,"Cadbury Milk Chocolate 90% (80g)",Cadbury,Milk,7539,64545.78,25.86,26004.07,10.42,40.29
130,"Ferrero Praline Chocolate 70% (100g)",Ferrero,Praline,7564,64850.87,25.36,25978.06,10.16,40.06
26,"Godiva Dark Chocolate 90% (120g)",Godiva,Dark,7716,64917.09,25.42,25962.51,10.17,39.99
73,"Mars Milk Chocolate 50% (80g) [ID:73]",Mars,Milk,7670,65299.15,25.67,25961.26,10.20,39.76
104,"Godiva Praline Chocolate 80% (120g)",Godiva,Praline,7670,65025.94,25.74,25946.82,10.27,39.90
136,"Mars Dark Chocolate 90% (200g)",Mars,Dark,7506,64863.49,25.90,25930.77,10.36,39.98
108,"Lindt Dark Chocolate 60% (100g)",Lindt,Dark,7474,64220.54,25.87,25923.54,10.44,40.37
11,"Ferrero Praline Chocolate 90% (80g)",Ferrero,Praline,7654,64915.66,25.75,25921.44,10.28,39.93
107,"Ferrero Truffle Chocolate 80% (120g)",Ferrero,Truffle,7600,64477.53,25.62,25887.66,10.29,40.15
51,"Lindt Milk Chocolate 80% (200g)",Lindt,Milk,7602,64493.75,25.66,25880.51,10.30,40.13
142,"Lindt Praline Chocolate 70% (200g)",Lindt,Praline,7536,64416.36,25.97,25865.34,10.43,40.15
103,"Ferrero Praline Chocolate 50% (100g) [ID:103]",Ferrero,Praline,7634,64616.67,25.51,25861.49,10.21,40.02
116,"Ferrero Dark Chocolate 70% (100g)",Ferrero,Dark,7639,64459.57,25.27,25845.09,10.13,40.10
146,"Mars White Chocolate 50% (50g)",Mars,White,7500,64248.01,25.52,25808.93,10.25,40.17
133,"Lindt Milk Chocolate 90% (100g)",Lindt,Milk,7486,64022.03,25.37,25806.19,10.22,40.31
194,"Godiva Truffle Chocolate 90% (200g)",Godiva,Truffle,7506,64513.73,25.34,25799.67,10.13,39.99
10,"Hershey Milk Chocolate 70% (50g)",Hershey,Milk,7609,64487.65,25.48,25792.46,10.19,40.00
