sale_id,sale_date,customer_id,customer_gender,customer_loyalty_member_status,product_id,product_brand,product_name,product_category,store_city,store_country,sale_quantity,product_unit_price,sale_revenue,sale_cost,sale_profit
513,2023-01-01,4611,Male,1,46,Cadbury,"Cadbury Dark Chocolate 50% (120g)",Dark,Melbourne,Australia,2,9.13,22.72,11.37,11.35
515,2023-01-01,6385,Female,1,46,Cadbury,"Cadbury Dark Chocolate 50% (120g)",Dark,Hamburg,Germany,1,9.13,6.79,4.48,2.31
512,2023-01-01,9798,Male,1,46,Cadbury,"Cadbury Dark Chocolate 50% (120g)",Dark,Edinburgh,UK,5,9.13,46.75,24.43,22.32
516,2023-01-01,9704,Female,1,46,Cadbury,"Cadbury Dark Chocolate 50% (120g)",Dark,"Long Island",USA,5,9.13,67.10,44.83,22.27
348,2023-01-01,48643,Male,1,102,Cadbury,"Cadbury Dark Chocolate 50% (50g) [ID:102]",Dark,Sydney,Australia,4,9.01,32.84,20.21,12.63
349,2023-01-01,8288,Male,1,102,Cadbury,"Cadbury Dark Chocolate 50% (50g) [ID:102]",Dark,London,UK,3,9.01,24.98,13.32,11.66
600,2023-01-01,540,Male,1,21,Cadbury,"Cadbury Dark Chocolate 50% (50g) [ID:21]",Dark,Marseille,France,1,8.85,7.70,4.05,3.66
601,2023-01-01,36905,Male,1,21,Cadbury,"Cadbury Dark Chocolate 50% (50g) [ID:21]",Dark,"Long Island",USA,3,8.85,20.55,12.77,7.78
320,2023-01-01,36762,Female,1,112,Cadbury,"Cadbury Dark Chocolate 50% (80g)",Dark,Berlin,Germany,2,9.04,29.92,18.32,11.60
318,2023-01-01,17684,Female,1,112,Cadbury,"Cadbury Dark Chocolate 50% (80g)",Dark,"Long Island",USA,4,9.04,11.33,6.84,4.49
155,2023-01-01,1534,Female,1,162,Cadbury,"Cadbury Dark Chocolate 60% (100g)",Dark,Brisbane,Australia,2,9.04,10.78,7.09,3.69
178,2023-01-01,49964,Female,1,156,Cadbury,"Cadbury Dark Chocolate 60% (200g) [ID:156]",Dark,London,UK,4,8.99,30.53,16.25,14.28
390,2023-01-01,10972,Female,1,91,Cadbury,"Cadbury Dark Chocolate 60% (200g) [ID:91]",Dark,"New York",USA,4,8.98,34.32,18.29,16.03
665,2023-01-01,42566,Male,1,2,Cadbury,"Cadbury Dark Chocolate 70% (100g) [ID:2]",Dark,Montreal,Canada,3,8.96,34.62,21.55,13.07
666,2023-01-01,28825,Female,1,2,Cadbury,"Cadbury Dark Chocolate 70% (100g) [ID:2]",Dark,Toronto,Canada,3,8.96,40.04,23.92,16.12
667,2023-01-01,47856,Female,1,2,Cadbury,"Cadbury Dark Chocolate 70% (100g) [ID:2]",Dark,Paris,France,2,8.96,28.98,17.61,11.37
664,2023-01-01,21345,Male,1,2,Cadbury,"Cadbury Dark Chocolate 70% (100g) [ID:2]",Dark,Paris,France,1,8.96,4.09,2.15,1.94
502,2023-01-01,15963,Female,1,52,Cadbury,"Cadbury Dark Chocolate 90% (100g)",Dark,Melbourne,Australia,4,8.97,37.20,22.25,14.95
500,2023-01-01,5097,Female,1,52,Cadbury,"Cadbury Dark Chocolate 90% (100g)",Dark,Sydney,Australia,3,8.97,20.45,10.47,9.97
1,2023-01-01,45583,Male,1,200,Cadbury,"Cadbury Milk Chocolate 50% (100g)",Milk,London,UK,5,9.11,19.68,10.46,9.21
4,2023-01-01,10932,Male,1,200,Cadbury,"Cadbury Milk Chocolate 50% (100g)",Milk,"Long Island",USA,2,9.11,20.68,12.74,7.94
220,2023-01-01,8091,Male,1,144,Cadbury,"Cadbury Milk Chocolate 60% (50g)",Milk,Paris,France,2,9.07,28.52,15.39,13.13
593,2023-01-01,22915,Female,1,24,Cadbury,"Cadbury Milk Chocolate 70% (100g)",Milk,Melbourne,Australia,1,8.99,9.94,5.75,4.19
595,2023-01-01,10529,Male,1,24,Cadbury,"Cadbury Milk Chocolate 70% (100g)",Milk,"Long Island",USA,3,8.99,42.60,28.00,14.60
531,2023-01-01,47695,Female,1,41,Cadbury,"Cadbury Milk Chocolate 70% (80g)",Milk,Munich,Germany,1,8.94,7.25,4.79,2.45
533,2023-01-01,12019,Female,1,41,Cadbury,"Cadbury Milk Chocolate 70% (80g)",Milk,Edinburgh,UK,3,8.94,29.55,17.63,11.92
